ISOALPHA,country,region,city,population,lat,lng,p_sex,p_sexmale,p_susceptible_a,p_susceptible_a0,p_susceptible1,p_susceptible,p_active
KAZ,Kazakhstan,CA,Almaty,2000900,43.2567,76.9286,0.0024,0.014,0.909005033,0.00445981,0.00405399,0.792484417,0.005115545
KGZ,Kyrgyzstan,CA,Bishkek,900000,42.87,74.59,0.003712891,0.03,0.92070561,0.00922813,0.008496391,0.828775301,0.010251743
TJK,Tajikistan,CA,Dushanbe,679400,38.5358,68.7791,0.0036,0.03,0.933802937,0.00927583,0.008661797,0.866939,0.009991242
TKM,Turkmenistan,CA,Ashgabat,727700,37.95,58.3833,0.0043,0.03,0.915143256,0.00990819,0.009067413,0.831579395,0.010903845
UZB,Uzbekistan,CA,Tashkent,1978028,41.2646,69.2163,0.0043,0.032,0.918275166,0.010349857,0.009504017,0.825072004,0.011519015
CHN,China,EA,Shanghai,22315474,31.2222,121.458,0.007567309,0.07,0.908840531,0.020089851,0.018258471,0.691092379,0.026419725
HKG,"China, Hong Kong SAR",EA,Hong Kong,7012738,22.2783,114.175,0.004,0.11,0.867554407,0.025762461,0.022350337,0.610834339,0.03658985
TWN,"China, Taiwan Province of China",EA,Taipei,7871900,25.0478,121.532,0.008939351,0.07,0.871663576,0.020545986,0.017909187,0.640123185,0.02797772
JPN,Japan,EA,Tokyo,8336599,35.6895,139.692,0.006184482,0.07,0.944505011,0.015822762,0.014944678,0.656028812,0.022780521
KOR,Republic of Korea,EA,Seoul,10349312,37.566,126.978,0.006180458,0.07,0.909975745,0.018914364,0.017211612,0.680828565,0.025280391
AFG,Afghanistan,SA,Kabul,3043532,34.5281,69.1723,0.000601615,0.05,0.966527014,0.012393516,0.011978668,0.919659948,0.013025106
BGD,Bangladesh,SA,Dhaka,10356500,23.7104,90.4074,0.001737891,0.05,0.924276606,0.0145405,0.013439444,0.848672519,0.015835842
IND,India,SA,Mumbai,12691836,19.0728,72.8826,0.003793015,0.05,0.896765329,0.015835608,0.014200824,0.78711287,0.018041662
IRN,Iran (Islamic Republic of),SA,Tehran,7153309,35.6944,51.4215,0.003,0.05,0.888496259,0.01538611,0.013670501,0.780939498,0.017505198
NPL,Nepal,SA,Kathmandu,1442271,27.7017,85.3206,0.005,0.004,0.91178956,0.003776539,0.003443409,0.819537612,0.004201648
PAK,Pakistan,SA,Karachi,11624219,24.8608,67.0104,0.00208002,0.05,0.933861064,0.013555656,0.012659099,0.883604025,0.014326666
LKA,Sri Lanka,SA,Colombo,648034,6.93194,79.8478,0.0029,0.05,0.890925959,0.013820046,0.012312638,0.753307928,0.016344761
KHM,Cambodia,SEA,Phnom Penh,1573544,11.5625,104.916,0.0061,0.075,0.997474259,0.022737056,0.022679628,0.896584103,0.025295595
IDN,Indonesia,SEA,Jakarta,8540121,-6.21462,106.845,0.0019,0.03,0.883963096,0.008910262,0.007876343,0.771126156,0.010214078
LAO,Lao People's Democratic Republic,SEA,Vientiane,840940,17.9749,102.6309,0.004047443,0.07,0.988943498,0.021299532,0.021064033,0.887086862,0.023745176
MYS,Malaysia,SEA,Kuala Lumpur,1453975,3.1412,101.687,0.001933551,0.07,0.903880674,0.021050662,0.019027287,0.796577184,0.023886307
MMR,Myanmar,SEA,Yangon,4477638,16.8053,96.1561,0.0026,0.07,0.894617667,0.02017312,0.018047229,0.786659429,0.022941604
PHL,Philippines,SEA,Manila,1600000,14.6042,120.982,0.0021,0.058,0.984561933,0.016889098,0.016628363,0.876338004,0.018974829
SGP,Singapore,SEA,Singapore,3547809,1.28967,103.85,0.001455568,0.076,0.902133476,0.02290045,0.020659263,0.726581345,0.028433517
THA,Thailand,SEA,Bangkok,5104476,13.754,100.501,0.0032,0.13,0.875346395,0.033296248,0.029145751,0.691634327,0.042140405
VNM,Viet Nam,SEA,Ho Chi Minh City,3467331,10.823,106.63,0.001662906,0.03,0.888118976,0.008583172,0.007622878,0.76363228,0.009982393
AZE,Azerbaijan,WA,Baku,1116513,40.3777,49.892,0.0038,0.03,0.921909266,0.009820814,0.009053899,0.795251479,0.011384951
IRQ,Iraq,WA,Baghdad,7216000,33.3406,44.4009,0.0038,0.03,0.921915754,0.009580601,0.008832507,0.875694012,0.010086293
ISR,Israel,WA,Jerusalem,801000,31.769,35.2163,0.0038,0.03,0.933101776,0.008774417,0.008187424,0.802969585,0.010196431
JOR,Jordan,WA,Amman,1275857,31.9552,35.945,0.0038,0.03,0.921744049,0.010041787,0.009255957,0.859142175,0.010773487
LBN,Lebanon,WA,Beirut,1916100,33.8933,35.5016,0.0038,0.03,0.93746189,0.00902869,0.008464053,0.807251482,0.010485026
OMN,Oman,WA,Muscat,797000,23.5841,58.4078,0.0038,0.03,0.919346088,0.012069228,0.011095797,0.88001183,0.012608691
SAU,Saudi Arabia,WA,Riyadh,4205961,24.6877,46.7219,0.0038,0.03,0.918242684,0.011882459,0.010910981,0.866128431,0.012597417
SYR,Syrian Arab Republic,WA,Aleppo,1602264,36.2012,37.1612,0.0038,0.03,0.941466694,0.010304743,0.009701572,0.888711088,0.010916452
TUR,TÃ¼rkiye,WA,Istanbul,14804116,41.0138,28.9497,0.0038,0.03,0.89501305,0.009865961,0.008830164,0.779281674,0.011331158
ARE,United Arab Emirates,WA,Dubai,1137347,25.0657,55.1713,0.0038,0.03,0.994796336,0.013520947,0.013450589,0.927502691,0.01450194
YEM,Yemen,WA,Sanaa,1937451,15.3547,44.2067,0.0038,0.03,0.952403557,0.009395227,0.008948048,0.9314394,0.009606688